,actor0,actor1,actor2,actor3
1081,Sunidhi Chauhan,Ettienne Couthino,Devansh Doshi,Saptharishi Ghosh
1082,Nikhil Dwivedi,Richa Chadda,Mahesh Balraj,Kislaya Dwivedi
1083,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia
1084,Manisha Kelkar,Arshad Khan,Ashish Kotwal,Aditya Om
1085,Mohammed Zeeshan Ayyub,Viren Basoya,Manish Chaudhary,Esha Gupta
1086,Prabhudheva,Ganesh Acharya,Kay Kay Menon,Lauren Gottlieb
1087,Manoj Bajpayee,Harish Bhimani,Neetu Chaudhary,Juhi Chawla
1088,Saqib Saleem,Rhea Chakraborty,Ram Kapoor,Prabal Panjabi
1089,Kay Kay Menon,Ranvir Shorey,Pradhuman Singh,Neha Bhasin
1090,Rani Agrawal,Frank M. Ahearn,Suzanne Bernert,Sudha Chandran
1091,Deepak Dobriyal,Priya Bhatija,Anshul Kataria,Paru Uma
1092,Aamir Khan,Anushka Sharma,Sanjay Dutt,Boman Irani
1093,Mohan Agashe,Arya Babbar,Neha Dhupia,Rajendra Gupta
1094,Ayushmann Khurrana,Kunaal Roy Kapur,Pooja Salvi,Gaelyn Mendonca
1095,Barkha Bisht,Balaji Iyer,Raghavendra Kadkol,Sachin Khedekar
1096,Ajay Devgn,Tamannaah Bhatia,Mahesh Manjrekar,Paresh Rawal
1097,Ashok Banthia,Sudesh Berry,Yuvika Chaudhry,Prashant Narayanan
1098,Pulkit Samrat,Rajesh Bakshi,Wamiqa Gabbi,Amita Pathak
1099,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey
1100,Shona Chabra,Raja Hasan,Akash Hora,Mann Hora
1101,Rahul Bairagi,Dhanshree Jain,Arbaaz Khan,Salman Khan
1102,Shahid Kapoor,Priyanka Chopra,Prachi Desai,Neha Sharma
1103,Farhan Akhtar,Sonam Kapoor,Pavan Malhotra,Art Malik
1104,Jacky Bhagnani,Nidhi Subbaiah,Darshan Jariwala,Kiron Kher
1105,Ram Charan,Priyanka Chopra,Sanjay Dutt,Prakash Raj
1106,Shruti K. Haasan,Girish Taurani,Randhir Kapoor,Sonu Sood
1107,'Chiyaan' Vikram,Neil Nitin Mukesh,Vinay Virmani,Tabu
1108,Dhanush,Sonam Kapoor,Mohammed Zeeshan Ayyub,Swara Bhaskar
1109,Farooq Shaikh,Sarika,Raghuvir Yadav,Satish Shah
1110,Raj Babbar,Mahie Gill,Mugdha Godse,Rajiv Gupta
1111,Sagar Bhangade,Mukesh Bhatt,Vipul Bhatt,Manmeet Dhanjal
1112,Shahid Kapoor,Sonakshi Sinha,Sonu Sood,Ashish Vidyarthi
1113,Salman Khan,Jacqueline Fernandez,Nawazuddin Siddiqui,Randeep Hooda
1114,Arjun Kapoor,Alia Bhatt,Amrita Singh,Revathy
1115,Akshay Kumar,Kajal Agarwal,Manoj Bajpayee,Jimmy Shergill
1116,Kiran Bhatia,Yaman Chatwal,Maanvi Gagroo,Chirag Jain
1117,Harish Chabbra,Tannishtha Chatterjee,Parvin Dabas,Rajendra Gupta
1118,Asha Bhosle,Kshitee Jog,Shivani Joshi,Ram Kapoor
1119,Jaideep Ahlawat,Bipasha Basu,Padam Bhola,Darshan Jariwala
1120,Chandan Roy Sanyal,Arfi Lamba,Kumar Mayank,Sonia Bindra
1121,Vivek Oberoi,Mallika Sherawat,Neha Dhupia,Anshuman Jha
1122,Parimal Aloke,Paru Gambhir,,
1123,Yuddvir Bakolia,Ila Arun,Anjan Srivastav,Sachin Khedekar
1124,Akash,Shilpa Anand,Karan Mehra,Tripta Parashar
1125,Neil Nitin Mukesh,Sonal Chauhan,Himani Chauhan,Devraj Das
1126,Frank M. Ahearn,Ramnita Chaudhry,Preeti Chauhan,Divya Dutta
1127,J.D. Chakravarthi,Nitin Jadhav,Manisha Koirala,Madhu Shalini
1128,Emraan Hashmi,Konkona Sen Sharma,Kalki Koechlin,Huma Qureshi
1129,Tinnu Anand,Raj Babbar,Akash Chopra,Shakti Kapoor
1130,Nushrat Bharucha,Kiran Kumar,Gautam Mehra,Sunny Singh Nijjar
1131,Randeep Hooda,Aditi Rao Hydari,Sara Loren,Rajesh Shringarpore
1132,Nafisa Ali,Simer Motiani,Bajrangbali Singh,Navdip Singh
1133,Saif Ali Khan,Kunal Khemu,Vir Das,Anand Tiwari
1134,Sunny Deol,Amrita Rao,Urvashi Rautela,Prakash Raj
1135,Kangana Ranaut,Prakash Raj,Mahesh Manjrekar,Paras Arora
1136,Shah Rukh Khan,Deepika Padukone,Vivaan Shah,Kareena Kapoor
1137,Ritesh Deshmukh,Vivek Oberoi,Aftab Shivdasani,Suresh Menon
1138,Dharmendra,Sunny Deol,Bobby Deol,Neha Sharma
1139,Mohammed Zeeshan Ayyub,Ashok Banthia,Devender Chaudhary,Manish Chaudhary
1140,Akshay Kumar,Sonakshi Sinha,Freddy Daruwala,Sumeet Raghvan
1141,Ishrat Ali,Nishant Balgovind,Sayali Bhagat,Puja Bose
1142,Akshay Kumar,Shiv Pandit,Mithun Chakraborty,Ronit Roy
1143,Madhuri Dixit,Juhi Chawla,Divya Jagdale,Priyanka Bose
1144,Ranveer Singh,Arjun Kapoor,Priyanka Chopra,Irrfan Khan
1145,Ranbir Kapoor,Pallavi Sharda,Rishi Kapoor,Neetu Singh
1146,Aadil Abedi,Catherine Fallows,Kiran Gadalay,Raghuvardhan Garlapati
1147,Sunny Leone,Saahil Prem,Parvin Dabas,Sandhya Mridul
1148,Nivedita Bhattacharya,Devyani,Shailesh Hejmady,Neha Iyyer
1149,Shradha Das,Eijaz Khan,Ravi Kishan,Atul Mathur
1150,Vikas Anand,Sweety Chhabra,Farida Dadi,Raja Duggal
1151,Rati Agnihotri,Neelima Azim,Rohit Bakshi,Vishal Bhosle
1152,Shahid Kapoor,Ileana,Padmini Kolhapure,Mukesh Tiwari
1153,Arshad Warsi,Amrita Rao,Boman Irani,Saurabh Shukla
1154,Zakir Hussain,Nasser,Vivek Oberoi,Neha Sharma
1155,Sarita Joshi,Purab Kohli,Mita Vasisht,Rajendranath Zutshi
1156,Rekha,Sharman Joshi,Randhir Kapoor,Anupam Kher
1157,Benjamin Gilani,Luke Kenny,Kirti Kulhari,Ashwin Mushran
1158,Nana Patekar,Atul Kulkarni,Ganesh Yadav,Ferzad Jehani
1159,Naseeruddin Shah,Madhuri Dixit,Arshad Warsi,Huma Qureshi
1160,Naveen Kasturia,Mayank Tewari,Aditi Vasudev,Karan Mirchandani
1161,Aparna Bajpai,Karanvir Bohra,Joe Debroy,Veena Malik
1162,Naseeruddin Shah,Randeep Hooda,Taran Bajaj,Harsh Chhaya
1163,Jacky Bhagnani,Priya Anand,Rajpal Yadav,Amitosh Nagpal
1164,Ali Zafar,Yami Gautam,Anupam Kher,Kiron Kher
1165,Salman Khan,Ileana,Anupam Kher,Varun Dhawan
1166,Annu Kapoor,Anupam Maanav,Saranya Mohan,Nishan
1167,Manish Paul,Dean Alexandrou,Elli Avram,Varun Badola
1168,Rani Mukerji,Randeep Hooda,Saqib Saleem,Nawazuddin Siddiqui
1169,Jigna Bhardwaj,Chutki,Kaustav Ghosh,Rajesh Kava
1170,Arjun Kapoor,Prithviraj Sukumaran,Jackie Shroff,Rishi Kapoor
1171,Priya Anand,Richa Chadda,Kapil Dubey,Ali Fazal
1172,Divya Dutta,Arbaz Kadwani,Taaha Shah,Doorva Tripathi
1173,Hussain Kuwajerwala,Paresh Ganatra,Rio Kapadia,Shivani Tanksale
1174,Tusshar Kapoor,Vinay Pathak,Ranvir Shorey,Vishakha Singh
1175,John Abraham,Nargis Fakhri,Rashi Khanna,Avijit Dutt
1176,Sanjai Mishra,Vishwa S. Badola,Ranjan Chhabra,Zakir Hussain
1177,Sanjay Dutt,Prachi Desai,Prakash Raj,Om Puri
1178,Rhea Chakraborty,Ali Fazal,Smita Jaykar,Raghav Juyal
1179,Arshad Warsi,Soha Ali Khan,Rajesh Balwani,Geeta Basra
1180,Hrithik Roshan,Katrina Kaif,Pavan Malhotra,Danny Denzongpa
1181,Mohinder Gujral,Yuvraj Haral,Vijayant Kohli,Neha Pawar
1182,Tisca Chopra,Paoli Dam,Arjun Mathur,Kay Kay Menon
1183,Swati Aggarwal,Arya Babbar,Kurush Deboo,Adi Irani
1184,Mimoh Chakraborty,Mithun Chakraborty,Yuvika Chaudhry,Zakir Hussain
1185,Asrani,Arun Bakshi,Dinesh Hingoo,Preeti Jain
1186,Abhay Deol,Preeti Desai,Lillete Dubey,Rati Agnihotri
1187,Wamiqa Gabbi,Izabelle Liete,Mehak Manwani,Highphill Mathew
1188,Vibha Chhibber,Ram Kapoor,Satish Kaushik,Gulfam Khan
1189,Akshay Kumar,Tamannaah Bhatia,Johnny Lever,Prakash Raj
1190,Alia Bhatt,Randeep Hooda,Durgesh Kumar,Arjun Malhotra
1191,Sushant Singh Rajput,Parineeti Chopra,Vaani Kapoor,Rishi Kapoor
1192,Siddharth Gupta,Simran Kaur Mundi,Pallavi Batra,Roopa Ganguly
1193,Priyanka Chopra,Zachary Coffin,Darshan Kumaar,Darshan Kumar
1194,Tinnu Anand,Mahesh Balraj,Mithilesh Chaturvedi,Vir Das
1195,Saif Ali Khan,Ileana,Kalki Koechlin,Ranvir Shorey
1196,Soha Ali Khan,Zakir Hussain,Seema Biswas,Mukesh Tiwari
1197,Vicky Ahuja,Ajaz Khan,Maarisha,Javed Rizvi
1198,Saif Ali Khan,Ritesh Deshmukh,Ram Kapoor,Bipasha Basu
1199,Kartik Tiwari,Mishti,Rishi Kapoor,Mithun Chakraborty
1200,Ranbir Chakma,Nikhil Desai,Raj Kesaria,Rohan Khurana
1201,Brijesh Kori,Sapna Choubisa,Shreechand Makhija,Rohit Raj
1202,Anjori Alagh,Karan Ashar,Asif Basra,Seema Biswas
1203,Puneet Singh Ratn,Sharvanand,Anaika Soti,Mahesh Thakur
1204,Santosh Barmola,Jitin Gulati,Manjari Phadnis,Suzana Rodrigues
1205,Tiger Shroff,Kriti Sanon,Parth Akerkar,Anuradha Chandan
1206,Deepika Padukone,Arjun Kapoor,Naseeruddin Shah,Dimple Kapadia
1207,BuAli Shah,Pragathi Yadhati,Adnan Khalid,C. Jenner Jose
1208,Raghuvir Yadav,Zakir Hussain,Yatin Karyekar,Irfan Raza Khan
1209,Shweta Bhardwaj,Gulshan Grover,Adi Irani,Farida Jalal
1210,Sidharth Malhotra,Parineeti Chopra,Adah Sharma,Manoj Joshi
1211,Aparna Bajpai,Ravish Desai,Karan Kundra,Nandini Vaid
1212,Shahbaz Baweja,Umesh Gautam,Nandini Jumani,Ravindra Kale
1213,Nazia Hussain,Salim Khan,Aasad Mirza,Saira Mirza
1214,Satyakam Anand,Aparajit Bhattacharjee,Richa Chadda,Aditi Khanna
1215,Ashrita Agarwal,Arsh Deol,Manoj Joshi,Hemant Pandey
1216,Kangana Ranaut,Vir Das,Zakir Hussain,Jami Jafry
1217,Farhan Akhtar,Vidya Balan,Vir Das,Ram Kapoor
1218,Indrapal Ahuja,Neha Baam,Vikram Dahiya,Rakesh Deewana
1219,Naseeruddin Shah,Sunny Leone,Sachiin Joshi,Bharath Niwas
1220,Nishant Dahiya,Pragya Jaiswal,,
1221,Kangana Ranaut,Rajkummar Rao,Lisa Haydon,Mish Boyko
1222,Rupa Bhimani,Vivaan Bhimani,Parignya Pandya Shah,
1223,Adhyayan Suman,Ariana Ayam,Deepti Naval,Om Puri
1224,Manu Rishi Chadha,Naresh Gosain,Dimple Kapadia,Deepti Pujari
1225,Vidya Balan,Ali Fazal,Mahima A,Abhishek C
1226,Emraan Hashmi,Kangana Ranaut,Sanjay Dutt,Randeep Hooda
1227,Farooq Shaikh,Victor Banerjee,Pavan Malhotra,Indraneil Sengupta
1228,Ranveer Singh,Ali Zafar,Parineeti Chopra,Govinda
1229,Himansh Kohli,Vivek Bhatnagar,Nicole Faria,Gulshan Grover
1230,Tabu,Shahid Kapoor,Shraddha Kapoor,Kay Kay Menon
1231,Aditya Roy Kapoor,Parineeti Chopra,Anupam Kher,
1232,Amitabh Bachchan,Ajay Devgn,Vidya Balan,Sunny Deol
1233,Sahil Anand,Parvin Dabas,Erica Fernandes,Preet Kamal
1234,Jimmy Shergill,Nushrat Bharucha,Arif Zakaria,Asif Basra
1235,Shiv Darshan,Hasleen Kaur,Aham Sharma,Tanya Malik
1236,Pulkit Samrat,Bilal Amrohi,Sarah-Jane Dias,Mandira Bedi
1237,Ayushmann Khurrana,Sonam Kapoor,Rishi Kapoor,Swedha Singh
1238,Mohammed Zeeshan Ayyub,Tarun Dudeja,Emraan Hashmi,Narendra Jetley
1239,Rani Mukerji,Tahir Raj Bhasin,Gautam Babbar,Probir Dutt
1240,Sanjiv Chopra,Chinmay Mandlekar,Suhas Sirsat,Sukhada Yash
1241,Omkar Das Manikpuri,Rajeev Verma,Dev Gohar,Satya Khare
1242,Mahesh Balraj,Bugs Bhargava,Hardik Bothra,Makrand Deshpande
1243,Jacky Bhagnani,Neha Sharma,Farooq Shaikh,Boman Irani
1244,Asif Basra,Anshuman Jha,Yoshika Verma,Amit Sial
1245,Sanjay Chauhan,Jasleen Matharu,Kanwaljeet Matharu,Kesar Matharu
1246,Sharman Joshi,Mahie Gill,Asrani,Parambrata Chatterjee
1247,Amitabh Bachchan,Boman Irani,Parth Bhalerao,Sanjay Mishra
1248,Harman Baweja,Harsh Chhaya,Sunny Deol,Rajit Kapoor
1249,Deepak Dobriyal,Keeya Khanna,Sanjay Mishra,Yashpal Sharma
1250,Ashok Banthia,Rishabh Chaddha,Badrul Islam,Simran Jehani
1251,Jyoti Rana,Shashi Wadia,Tarun Arora,Mahek Chahal
1252,Gajendra Chouhan,Shroff Jackie,Sanjay Kapoor,Sonia Mann
1253,Hritu,Sunny Singh,Gavie Chahal,Arbaaz Ali Khan
1254,Ajay Sinh Rathod,Prachi Sinha,,
1255,Sushant Singh,Surveen Chawla,Jay Bhanushali,Siddharth Kher
1256,Bipasha Basu,Imran Abbas,Mukul Dev,Deepraj Rana
1257,Ramgopal Bajaj,Ajay Bhandari,Barkha Bisht,Priyanshu Chatterjee
1258,Kannan Arunachalam,Vinod Khanna,Roopali Krishnarao,Sunil Shetty
1259,Himesh Reshammiya,Yo Yo Honey Singh,Irrfan Khan,Zoya Afroz
1260,Satish Kaushik,Tanvi Azmi,Vinay Jain,Sharad Ponkshe
1261,Varun Dhawan,Alia Bhatt,Sidharth Shukla,Ashutosh Rana
1262,Rati Agnihotri,Param Baidwaan,Kashika Chopra,Sammy Durrani
1263,Jimmy Shergill,Mohit Marwah,Kiara Advani,Vijender Singh
1264,Rajkummar Rao,Mallhar Goenka,Manav Kaul,Patralekhaa
1265,Armaan Jain,Deeksha Seth,Nikita Dutta,Rohini Hattangadi
1266,Salil Acharya,Kavin Dave,Anindita Nayar,Rannvijay Singh
1267,Sonam Arora,Arun Bakshi,Piyush Bhalodiya,Deepak Bhatia
1268,Akshay Oberoi,Parvathy Omanakuttan,Dipannita Sharma,Arunoday Singh
1269,Saahil Prem,Amrit Maghera,Salah Benlemqawanssa,Akilesh Unnitan
1270,Vir Das,Anindita Nayar,Natasha Rastogi,Kavi Shastri
1271,Anupam Kher,Neha Dhupia,Divyendu Sharma,Manu Rishi Chadha
1272,Akshay Kumar,Lisa Haydon,Rati Agnihotri,Cyrus Broacha
1273,Rajesh Bakshi,Jay Bhanushali,Claudia Ciesla,Akhil Kapur
1274,Manoj Amarnani,Nancy Brunetta,Anokhi Dalvi,Parth Naik
1275,Rati Agnihotri,Mansha Bahl,Rajneesh Duggal,Shubhashree Ganguli
1276,Deepak Chadha,Harshvardhan Deo,Sneha Deori,Vineeta Malik
1277,Shiv Pandit,Piaa Bajpai,,
1278,Mohan Joshi,Shakti Kapoor,Nitika Sharma,Aryan Vaid
1279,Kaivalya Chheda,Rajsekhar Aningi,Avidant Bhagat,Bramha
1280,Manish Choudhary,Suzanna Mukherjee,Poonam Pandey,
1281,Adil Hussain,Ekavali Khanna,Kulbhushan Kharbanda,Sanjay Mishra
1282,Vir Das,Sandeepa Dhar,Rahul Handa,Dimple Kapadia
1283,Shradha Das,Mohan Kapoor,Mannara,Karanvir Sharma
